,hashOfGame,uuid,playerCard1,playerCard2,action,amount,pot,levelOfBetting,cardsOnBoard,roundCount,isOnSmallblind,isOnBigBlind,smallBlindAmount,bigBlindAmount,stackOfPlayer,stackOfOpponent,sklanskyClass,EHS,HS,PPOT,NPOT,handStrengthFromLibrary,opponentAgressivnessScore,opponentAgressivnessScoreLast7Round,winnerOfRound,finalPotInGame
700,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,HT,C9,raise,20.0,60.0,1.0,"[None, None, None, None, None]",65.0,1.0,0.0,20.0,40.0,760.0,2180.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,akirkhcuxwbsyijkavpouh,60
701,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,D9,ST,call,20.0,60.0,1.0,"[None, None, None, None, None]",66.0,1.0,0.0,20.0,40.0,2220.0,720.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akirkhcuxwbsyijkavpouh,80
702,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,H2,DQ,raise,0.0,80.0,1.0,"[None, None, None, None, None]",66.0,0.0,1.0,20.0,40.0,720.0,2200.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,akirkhcuxwbsyijkavpouh,80
703,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,S4,S5,fold,0.0,60.0,1.0,"[None, None, None, None, None]",67.0,1.0,0.0,20.0,40.0,700.0,2240.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,akirkhcuxwbsyijkavpouh,60
704,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,S8,D8,call,20.0,60.0,1.0,"[None, None, None, None, None]",68.0,1.0,0.0,20.0,40.0,2280.0,660.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akirkhcuxwbsyijkavpouh,80
705,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,C4,D4,raise,0.0,80.0,1.0,"[None, None, None, None, None]",68.0,0.0,1.0,20.0,40.0,660.0,2260.0,7.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,akirkhcuxwbsyijkavpouh,80
706,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,D6,HA,raise,20.0,60.0,1.0,"[None, None, None, None, None]",69.0,1.0,0.0,20.0,40.0,640.0,2300.0,9.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,akirkhcuxwbsyijkavpouh,60
707,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,C5,H7,raise,20.0,60.0,1.0,"[None, None, None, None, None]",70.0,1.0,0.0,20.0,40.0,2340.0,600.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
708,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,S6,S2,raise,20.0,60.0,1.0,"[None, None, None, None, None]",71.0,1.0,0.0,20.0,40.0,640.0,2300.0,9.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,akirkhcuxwbsyijkavpouh,60
709,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,S4,CJ,call,20.0,60.0,1.0,"[None, None, None, None, None]",72.0,1.0,0.0,20.0,40.0,2340.0,600.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akirkhcuxwbsyijkavpouh,80
710,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,D8,H4,raise,0.0,80.0,1.0,"[None, None, None, None, None]",72.0,0.0,1.0,20.0,40.0,600.0,2320.0,9.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,akirkhcuxwbsyijkavpouh,80
711,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,C6,DA,raise,20.0,60.0,1.0,"[None, None, None, None, None]",73.0,1.0,0.0,20.0,40.0,580.0,2360.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,akirkhcuxwbsyijkavpouh,60
712,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,DJ,CK,call,20.0,60.0,1.0,"[None, None, None, None, None]",74.0,1.0,0.0,20.0,40.0,2400.0,540.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,akirkhcuxwbsyijkavpouh,80
713,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,SJ,S3,raise,0.0,80.0,1.0,"[None, None, None, None, None]",74.0,0.0,1.0,20.0,40.0,540.0,2380.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,akirkhcuxwbsyijkavpouh,80
714,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,HJ,H8,raise,20.0,60.0,1.0,"[None, None, None, None, None]",75.0,1.0,0.0,20.0,40.0,520.0,2420.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,akirkhcuxwbsyijkavpouh,60
715,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,H5,H8,raise,20.0,60.0,1.0,"[None, None, None, None, None]",76.0,1.0,0.0,20.0,40.0,2460.0,480.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
716,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,HA,DT,raise,20.0,60.0,1.0,"[None, None, None, None, None]",77.0,1.0,0.0,20.0,40.0,520.0,2420.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,akirkhcuxwbsyijkavpouh,60
717,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,HJ,S9,raise,20.0,60.0,1.0,"[None, None, None, None, None]",78.0,1.0,0.0,20.0,40.0,2460.0,480.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
718,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,S3,C2,raise,20.0,60.0,1.0,"[None, None, None, None, None]",79.0,1.0,0.0,20.0,40.0,520.0,2420.0,9.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,akirkhcuxwbsyijkavpouh,60
719,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,D6,HA,raise,20.0,60.0,1.0,"[None, None, None, None, None]",80.0,1.0,0.0,20.0,40.0,2460.0,480.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
720,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,C9,D6,raise,20.0,60.0,1.0,"[None, None, None, None, None]",81.0,1.0,0.0,20.0,40.0,520.0,2420.0,9.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,akirkhcuxwbsyijkavpouh,60
721,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,S7,C4,raise,20.0,60.0,1.0,"[None, None, None, None, None]",82.0,1.0,0.0,20.0,40.0,2460.0,480.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
722,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,SJ,CA,raise,20.0,60.0,1.0,"[None, None, None, None, None]",83.0,1.0,0.0,20.0,40.0,520.0,2420.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,akirkhcuxwbsyijkavpouh,60
723,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,HK,C2,raise,20.0,60.0,1.0,"[None, None, None, None, None]",84.0,1.0,0.0,20.0,40.0,2460.0,480.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
724,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,CK,CA,raise,20.0,60.0,1.0,"[None, None, None, None, None]",85.0,1.0,0.0,20.0,40.0,520.0,2420.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,akirkhcuxwbsyijkavpouh,60
725,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,S4,C9,fold,0.0,60.0,1.0,"[None, None, None, None, None]",86.0,1.0,0.0,20.0,40.0,2460.0,480.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
726,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,S4,C9,raise,20.0,60.0,1.0,"[None, None, None, None, None]",87.0,1.0,0.0,20.0,40.0,520.0,2420.0,9.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,akirkhcuxwbsyijkavpouh,60
727,f2096a67fcb9a22c28c72cb33b014da0c940225c,akirkhcuxwbsyijkavpouh,CQ,HT,raise,20.0,60.0,1.0,"[None, None, None, None, None]",88.0,1.0,0.0,20.0,40.0,2460.0,480.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nzktbnqertjrtkvatwchsc,60
728,f2096a67fcb9a22c28c72cb33b014da0c940225c,nzktbnqertjrtkvatwchsc,H9,SQ,fold,0.0,60.0,1.0,"[None, None, None, None, None]",89.0,1.0,0.0,20.0,40.0,520.0,2420.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,akirkhcuxwbsyijkavpouh,60
